Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1766953291,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1766953292,5,,Aggregated,0.000000,0.000000,44,47,50,51,57,60,67,71,71,71,71,99,0,44,42.88012288895396,14.690144000269356,71.34063400008017,48.686868686868685
1766953293,10,,Aggregated,0.000000,0.000000,59,81,94,96,100,110,120,120,130,130,130,204,0,59,66.47269765691959,14.690144000269356,130.28949799991096,48.71568627450981
1766953294,15,,Aggregated,50.000000,0.000000,90,110,130,150,160,170,170,180,180,180,180,306,0,89,91.74107855563669,14.690144000269356,182.7261679991352,48.69607843137255
1766953295,20,,Aggregated,74.500000,0.000000,100,150,160,170,200,210,220,220,220,220,220,397,0,100.0,112.41046520408143,14.690144000269356,221.6880880005192,48.670025188916874
1766953296,25,,Aggregated,83.333333,0.000000,140,180,200,210,230,250,280,280,300,300,300,500,0,140.0,135.8022502800377,14.690144000269356,301.4412550000998,48.682
1766953297,30,,Aggregated,88.250000,0.000000,160,210,230,260,290,300,330,340,390,390,390,619,0,160.0,163.53772571731736,14.690144000269356,393.1715919989074,48.67528271405493
1766953298,35,,Aggregated,88.400000,0.000000,180,220,270,290,320,350,360,370,390,390,390,696,0,180.0,181.1050817672597,14.690144000269356,393.1715919989074,48.685344827586206
1766953299,40,,Aggregated,93.000000,0.000000,200,280,300,330,370,410,420,430,460,460,460,816,0,200.0,208.7653574754952,14.690144000269356,457.3882990007405,48.693627450980394
1766953300,45,,Aggregated,94.142857,0.000000,220,300,340,360,400,430,500,510,680,680,680,912,0,220.0,231.6162293059179,14.690144000269356,676.6262040000584,48.69736842105263
1766953301,50,,Aggregated,96.500000,0.000000,230,330,360,390,430,500,590,610,680,680,680,1003,0,230.0,253.00832132402522,14.690144000269356,676.6262040000584,48.701894317048854
1766953302,50,,Aggregated,95.444444,0.000000,280,350,390,410,470,500,590,610,680,680,680,1111,0,280.0,271.82031402159856,14.690144000269356,678.7436650010932,48.6984698469847
1766953303,50,,Aggregated,96.000000,0.000000,300,390,420,440,490,510,590,610,680,680,680,1217,0,300.0,289.4711573590742,14.690144000269356,678.7436650010932,48.7000821692687
1766953304,50,,Aggregated,100.500000,0.000000,320,400,430,460,500,550,610,660,700,700,700,1320,0,320.0,305.81449275302396,14.690144000269356,700.180210000326,48.69621212121212
1766953305,50,,Aggregated,101.400000,0.000000,340,410,450,460,510,560,610,660,700,730,730,1430,0,340.0,318.1952997244645,14.690144000269356,725.4951390004862,48.6951048951049
1766953306,50,,Aggregated,101.100000,0.000000,360,420,460,470,510,570,620,660,700,730,730,1539,0,360.0,329.1061351227978,14.690144000269356,725.4951390004862,48.69980506822612
1766953307,50,,Aggregated,101.400000,0.000000,380,430,460,480,520,570,620,660,700,730,730,1644,0,380.0,337.51049378102044,14.690144000269356,725.4951390004862,48.697688564476884
1766953308,50,,Aggregated,104.600000,0.000000,390,440,460,480,520,580,620,660,700,730,730,1750,0,390.0,344.8131597125646,14.690144000269356,725.4951390004862,48.70457142857143
